,episodio,recompensa,distancia,pX,pY,pZ
596,597,69348,39.0,62.0,96.0,105.0
597,598,173611,24.0,117.0,96.0,83.0
598,599,30778,57.0,129.0,96.0,51.0
599,600,3592592,5.0,98.0,96.0,103.0
600,601,4750000,5.0,101.0,96.0,103.0
601,602,826446,11.0,92.0,96.0,107.0
602,603,137174,27.0,75.0,96.0,109.0
603,604,226757,21.0,81.0,96.0,109.0
604,605,3592592,6.0,104.0,96.0,101.0
605,606,375756,16.0,114.0,96.0,93.0
606,607,44647,48.0,53.0,96.0,108.0
607,608,63582,40.0,61.0,96.0,106.0
608,609,137174,27.0,121.0,96.0,83.0
609,610,164537,25.0,78.0,96.0,111.0
610,611,884297,11.0,93.0,96.0,107.0
611,612,942148,11.0,92.0,96.0,106.0
612,613,31518,57.0,130.0,96.0,52.0
613,614,1000000,10.0,93.0,96.0,106.0
614,615,160000,25.0,77.0,96.0,110.0
615,616,77160,36.0,66.0,96.0,110.0
616,617,118906,29.0,73.0,96.0,110.0
617,618,2532123,7.0,97.0,96.0,105.0
618,619,360888,17.0,112.0,96.0,89.0
619,620,4000000,5.0,100.0,96.0,103.0
620,621,4000000,5.0,98.0,96.0,103.0
621,622,226757,21.0,81.0,96.0,109.0
622,623,99790,32.0,124.0,96.0,79.0
623,624,268005,20.0,117.0,96.0,91.0
624,625,189035,23.0,80.0,96.0,111.0
625,626,86505,34.0,68.0,96.0,111.0
626,627,118906,29.0,73.0,96.0,111.0
627,628,1234567,9.0,108.0,96.0,98.0
628,629,116307,30.0,121.0,96.0,79.0
629,630,942148,11.0,92.0,96.0,106.0
630,631,206611,22.0,117.0,96.0,86.0
631,632,26874,61.0,39.0,96.0,106.0
632,633,2777777,6.0,104.0,96.0,101.0
633,634,183894,24.0,120.0,96.0,88.0
634,635,124669,29.0,73.0,96.0,110.0
635,636,155976,25.0,78.0,96.0,111.0
636,637,510204,14.0,112.0,96.0,94.0
637,638,510204,14.0,89.0,96.0,108.0
638,639,33057,55.0,45.0,96.0,100.0
639,640,2532123,6.0,97.0,96.0,104.0
640,641,1156378,9.0,108.0,96.0,97.0
641,642,1721938,8.0,95.0,96.0,104.0
642,643,31518,57.0,43.0,96.0,105.0
643,644,54951,43.0,57.0,96.0,105.0
644,645,47966,46.0,55.0,96.0,108.0
645,646,277008,19.0,83.0,96.0,108.0
646,647,70516,38.0,127.0,96.0,74.0
647,648,4000000,5.0,99.0,96.0,102.0
648,649,466364,14.0,112.0,96.0,93.0
649,650,189035,23.0,119.0,96.0,88.0
650,651,510204,14.0,89.0,96.0,108.0
651,652,144344,27.0,121.0,96.0,84.0
652,653,137174,27.0,75.0,96.0,110.0
653,654,4000000,5.0,103.0,96.0,102.0
654,655,111111,30.0,125.0,96.0,83.0
655,656,34293,54.0,46.0,96.0,101.0
656,657,1234567,9.0,108.0,96.0,98.0
657,658,32277,56.0,44.0,96.0,96.0
658,659,226757,21.0,82.0,96.0,110.0
659,660,1000000,10.0,109.0,96.0,97.0
660,661,287552,19.0,116.0,96.0,91.0
661,662,77160,36.0,65.0,96.0,108.0
662,663,93770,33.0,68.0,96.0,107.0
663,664,2777777,6.0,105.0,96.0,100.0
664,665,466364,15.0,88.0,96.0,108.0
665,666,826446,11.0,110.0,96.0,96.0
666,667,62500,40.0,128.0,96.0,72.0
667,668,147928,26.0,75.0,96.0,107.0
668,669,2286470,7.0,106.0,96.0,100.0
669,670,1562500,8.0,95.0,96.0,105.0
670,671,1156378,9.0,108.0,96.0,97.0
671,672,81632,35.0,67.0,96.0,111.0
672,673,28727,59.0,41.0,96.0,105.0
673,674,50896,45.0,130.0,96.0,67.0
674,675,408564,16.0,112.0,96.0,90.0
675,676,65746,39.0,63.0,96.0,111.0
676,677,65746,39.0,62.0,96.0,107.0
677,678,32667,56.0,133.0,96.0,55.0
678,679,537374,14.0,112.0,96.0,95.0
679,680,169074,25.0,121.0,96.0,87.0
680,681,346020,17.0,86.0,96.0,109.0
681,682,118906,29.0,72.0,96.0,106.0
682,683,104058,31.0,122.0,96.0,78.0
683,684,25195,63.0,133.0,96.0,46.0
684,685,510204,14.0,89.0,96.0,107.0
685,686,3185185,6.0,98.0,96.0,104.0
686,687,33057,55.0,130.0,96.0,54.0
687,688,298097,19.0,116.0,96.0,91.0
688,689,47966,46.0,55.0,96.0,107.0
689,690,28094,60.0,40.0,96.0,101.0
690,691,4000000,5.0,100.0,96.0,103.0
691,692,444444,15.0,88.0,96.0,108.0
692,693,40000,50.0,50.0,96.0,101.0
693,694,408564,16.0,113.0,96.0,92.0
694,695,1453189,9.0,95.0,96.0,106.0
695,696,2777777,6.0,105.0,96.0,99.0
696,697,99790,32.0,121.0,96.0,76.0
697,698,826446,11.0,92.0,96.0,107.0
698,699,4000000,5.0,103.0,96.0,100.0
699,700,16723,78.0,23.0,96.0,90.0
700,701,346020,17.0,85.0,96.0,108.0
701,702,69252,38.0,63.0,96.0,108.0
702,703,44024,48.0,131.0,96.0,64.0
703,704,1343878,9.0,95.0,96.0,106.0
704,705,19654,72.0,28.0,96.0,95.0
705,706,56689,42.0,58.0,96.0,105.0
706,707,488284,15.0,113.0,96.0,94.0
707,708,69252,38.0,126.0,96.0,72.0
708,709,99790,32.0,69.0,96.0,107.0
709,710,4750000,5.0,101.0,96.0,102.0
710,711,26301,62.0,38.0,96.0,101.0
711,712,130758,28.0,123.0,96.0,84.0
712,713,133966,28.0,122.0,96.0,83.0
713,714,1562500,8.0,107.0,96.0,98.0
714,715,213326,22.0,118.0,96.0,88.0
715,716,57622,42.0,60.0,96.0,111.0
716,717,44024,48.0,131.0,96.0,64.0
717,718,1156378,10.0,109.0,96.0,97.0
718,719,64664,40.0,60.0,96.0,104.0
719,720,17945,76.0,27.0,96.0,81.0
720,721,206611,22.0,117.0,96.0,86.0
721,722,346020,17.0,85.0,96.0,106.0
722,723,4000000,5.0,103.0,96.0,101.0
723,724,259002,19.0,84.0,96.0,109.0
724,725,32667,56.0,44.0,96.0,95.0
725,726,321101,18.0,115.0,96.0,91.0
726,727,69252,38.0,64.0,96.0,112.0
727,728,660201,13.0,88.0,96.0,104.0
728,729,694444,12.0,91.0,96.0,107.0
729,730,660201,13.0,111.0,96.0,95.0
730,731,71781,38.0,64.0,96.0,110.0
731,732,169074,25.0,78.0,96.0,111.0
732,733,4000000,5.0,103.0,96.0,99.0
733,734,22503,67.0,33.0,96.0,98.0
734,735,97656,32.0,125.0,96.0,80.0
735,736,56689,42.0,59.0,96.0,106.0
736,737,782445,12.0,111.0,96.0,97.0
737,738,408564,16.0,87.0,96.0,108.0
738,739,1343878,9.0,108.0,96.0,98.0
739,740,444444,15.0,87.0,96.0,106.0
740,741,44024,48.0,129.0,96.0,62.0
741,742,69252,38.0,129.0,96.0,75.0
742,743,88279,34.0,125.0,96.0,78.0
743,744,510204,14.0,89.0,96.0,108.0
744,745,408564,16.0,87.0,96.0,108.0
745,746,32277,56.0,44.0,96.0,104.0
746,747,226757,21.0,82.0,96.0,109.0
747,748,537374,13.0,111.0,96.0,94.0
748,749,226757,21.0,82.0,96.0,110.0
749,750,268005,20.0,83.0,96.0,109.0
