,episodio,recompensa,distancia,pX,pY,pZ
136,137,2777777,6.0,98.0,96.0,104.0
137,138,124669,29.0,74.0,96.0,111.0
138,139,173611,24.0,78.0,96.0,110.0
139,140,62500,40.0,61.0,96.0,107.0
140,141,321101,18.0,115.0,96.0,91.0
141,142,88279,34.0,68.0,96.0,111.0
142,143,1156378,10.0,108.0,96.0,96.0
143,144,390625,16.0,113.0,96.0,91.0
144,145,133966,28.0,122.0,96.0,83.0
145,146,121787,29.0,72.0,96.0,108.0
146,147,390625,16.0,87.0,96.0,108.0
147,148,113709,30.0,124.0,96.0,83.0
148,149,31518,57.0,43.0,96.0,103.0
149,150,1234567,9.0,95.0,96.0,106.0
150,151,268005,19.0,117.0,96.0,92.0
151,152,42818,49.0,51.0,96.0,103.0
152,153,1343878,9.0,108.0,96.0,99.0
153,154,1234567,9.0,105.0,96.0,94.0
154,155,4000000,5.0,103.0,96.0,102.0
155,156,78651,36.0,125.0,96.0,75.0
156,157,782445,12.0,109.0,96.0,94.0
157,158,61496,41.0,128.0,96.0,71.0
158,159,2286470,7.0,106.0,96.0,99.0
159,160,1234567,9.0,94.0,96.0,106.0
160,161,74524,38.0,124.0,96.0,71.0
161,162,47258,46.0,54.0,96.0,105.0
162,163,69252,38.0,127.0,96.0,73.0
163,164,133966,28.0,74.0,96.0,110.0
164,165,1000000,10.0,93.0,96.0,106.0
165,166,144344,27.0,75.0,96.0,109.0
166,167,1234567,9.0,94.0,96.0,106.0
167,168,633030,14.0,88.0,96.0,105.0
168,169,32277,56.0,45.0,96.0,109.0
169,170,346020,17.0,85.0,96.0,108.0
170,171,99790,32.0,124.0,96.0,79.0
171,172,3592592,6.0,104.0,96.0,101.0
172,173,12255,91.0,14.0,96.0,71.0
173,174,4000000,5.0,102.0,96.0,102.0
174,175,37958,52.0,129.0,96.0,57.0
175,176,1234567,9.0,94.0,96.0,106.0
176,177,40549,50.0,51.0,96.0,106.0
177,178,444444,15.0,87.0,96.0,107.0
178,179,65746,39.0,62.0,96.0,110.0
179,180,30778,57.0,44.0,96.0,108.0
180,181,93770,33.0,123.0,96.0,77.0
181,182,2286470,7.0,105.0,96.0,98.0
182,183,1000000,10.0,92.0,96.0,105.0
183,184,226757,21.0,81.0,96.0,108.0
184,185,537374,14.0,88.0,96.0,106.0
185,186,1078189,10.0,93.0,96.0,106.0
186,187,3592592,6.0,99.0,96.0,104.0
187,188,40549,50.0,50.0,96.0,101.0
188,189,277008,19.0,82.0,96.0,106.0
189,190,97656,32.0,70.0,96.0,111.0
190,191,321101,17.0,115.0,96.0,92.0
191,192,1721938,8.0,107.0,96.0,98.0
192,193,63582,40.0,127.0,96.0,71.0
193,194,104058,31.0,71.0,96.0,111.0
194,195,510204,14.0,89.0,96.0,108.0
195,196,137551,28.0,75.0,96.0,111.0
196,197,3592592,6.0,104.0,96.0,101.0
197,198,346020,17.0,86.0,96.0,109.0
198,199,4000000,5.0,98.0,96.0,103.0
199,200,1000000,10.0,93.0,96.0,106.0
200,201,3592592,6.0,99.0,96.0,104.0
201,202,57622,42.0,58.0,96.0,104.0
202,203,2040816,7.0,96.0,96.0,104.0
203,204,36060,53.0,130.0,96.0,56.0
204,205,51652,44.0,128.0,96.0,66.0
205,206,694444,12.0,110.0,96.0,95.0
206,207,390625,16.0,114.0,96.0,93.0
207,208,147928,26.0,122.0,96.0,86.0
208,209,36060,53.0,47.0,96.0,104.0
209,210,50139,45.0,129.0,96.0,66.0
210,211,375756,17.0,115.0,96.0,93.0
211,212,95713,33.0,125.0,96.0,79.0
212,213,189035,23.0,119.0,96.0,87.0
213,214,782445,11.0,92.0,96.0,107.0
214,215,104058,31.0,71.0,96.0,111.0
215,216,4000000,5.0,101.0,96.0,103.0
216,217,1562500,8.0,95.0,96.0,105.0
217,218,390625,16.0,86.0,96.0,107.0
218,219,68083,39.0,127.0,96.0,72.0
219,220,78651,36.0,66.0,96.0,111.0
220,221,251255,21.0,82.0,96.0,109.0
221,222,69252,38.0,64.0,96.0,110.0
222,223,73046,37.0,65.0,96.0,112.0
223,224,2777777,6.0,98.0,96.0,104.0
224,225,41649,49.0,52.0,96.0,109.0
225,226,234504,21.0,116.0,96.0,87.0
226,227,1562500,8.0,106.0,96.0,97.0
227,228,164537,25.0,78.0,96.0,111.0
228,229,22059,68.0,32.0,96.0,94.0
229,230,70516,38.0,125.0,96.0,72.0
230,231,510204,14.0,88.0,96.0,107.0
231,232,183894,23.0,119.0,96.0,87.0
232,233,660201,13.0,110.0,96.0,93.0
233,234,62500,40.0,61.0,96.0,110.0
234,235,2777777,6.0,105.0,96.0,100.0
235,236,591715,13.0,90.0,96.0,108.0
236,237,104058,31.0,71.0,96.0,111.0
237,238,36982,52.0,49.0,96.0,108.0
238,239,2286470,7.0,97.0,96.0,105.0
239,240,41684,50.0,129.0,96.0,60.0
240,241,30077,58.0,132.0,96.0,52.0
241,242,250000,20.0,83.0,96.0,109.0
242,243,200753,23.0,117.0,96.0,85.0
243,244,45932,47.0,131.0,96.0,65.0
244,245,75789,37.0,64.0,96.0,109.0
245,246,5500000,5.0,101.0,96.0,102.0
246,247,63582,40.0,129.0,96.0,73.0
247,248,2040816,7.0,106.0,96.0,99.0
248,249,31887,56.0,135.0,96.0,56.0
249,250,200753,23.0,79.0,96.0,108.0
250,251,333561,17.0,114.0,96.0,91.0
251,252,137174,27.0,75.0,96.0,110.0
252,253,1881377,8.0,96.0,96.0,105.0
253,254,308641,18.0,85.0,96.0,109.0
254,255,346020,17.0,115.0,96.0,92.0
255,256,2777777,6.0,104.0,96.0,101.0
256,257,178752,24.0,120.0,96.0,87.0
257,258,308641,18.0,85.0,96.0,110.0
258,259,1453189,8.0,95.0,96.0,105.0
259,260,346020,17.0,85.0,96.0,108.0
260,261,84881,35.0,67.0,96.0,111.0
261,262,47258,46.0,55.0,96.0,111.0
262,263,118906,29.0,73.0,96.0,111.0
263,264,444444,15.0,86.0,96.0,105.0
264,265,130758,28.0,123.0,96.0,84.0
265,266,14286,84.0,18.0,96.0,84.0
266,267,444444,15.0,88.0,96.0,108.0
267,268,66914,39.0,62.0,96.0,106.0
268,269,1234567,9.0,94.0,96.0,105.0
269,270,4000000,5.0,102.0,96.0,102.0
270,271,54083,43.0,129.0,96.0,68.0
271,272,2286470,7.0,106.0,96.0,99.0
272,273,127551,28.0,75.0,96.0,112.0
273,274,259002,20.0,116.0,96.0,89.0
274,275,169074,25.0,119.0,96.0,85.0
275,276,660201,13.0,111.0,96.0,95.0
276,277,1453189,9.0,108.0,96.0,98.0
277,278,46595,47.0,132.0,96.0,66.0
278,279,1562500,8.0,95.0,96.0,105.0
279,280,346020,17.0,86.0,96.0,109.0
280,281,22730,67.0,33.0,96.0,94.0
281,282,826446,11.0,92.0,96.0,107.0
282,283,1562500,8.0,96.0,96.0,105.0
283,284,1234567,9.0,94.0,96.0,106.0
284,285,133966,28.0,74.0,96.0,109.0
285,286,183894,24.0,79.0,96.0,110.0
286,287,42233,49.0,130.0,96.0,61.0
287,288,408564,16.0,114.0,96.0,93.0
288,289,510204,14.0,88.0,96.0,107.0
289,290,108760,31.0,124.0,96.0,81.0
290,291,625958,13.0,112.0,96.0,96.0
291,292,116307,30.0,124.0,96.0,83.0
292,293,226757,21.0,81.0,96.0,109.0
293,294,444444,15.0,113.0,96.0,93.0
294,295,35164,54.0,47.0,96.0,108.0
295,296,173611,24.0,79.0,96.0,110.0
296,297,942148,11.0,109.0,96.0,96.0
297,298,173611,24.0,78.0,96.0,110.0
298,299,160000,25.0,77.0,96.0,109.0
299,300,826446,11.0,110.0,96.0,97.0
300,301,4750000,5.0,102.0,96.0,101.0
301,302,250000,20.0,116.0,96.0,88.0
302,303,151952,25.0,121.0,96.0,87.0
303,304,333561,18.0,116.0,96.0,93.0
304,305,1156378,9.0,94.0,96.0,106.0
305,306,113709,30.0,71.0,96.0,108.0
306,307,86505,34.0,67.0,96.0,108.0
307,308,346020,17.0,114.0,96.0,91.0
308,309,1453189,9.0,95.0,96.0,106.0
309,310,466364,15.0,112.0,96.0,92.0
310,311,206611,22.0,116.0,96.0,85.0
311,312,118906,29.0,74.0,96.0,111.0
312,313,207468,23.0,80.0,96.0,110.0
313,314,24934,64.0,36.0,96.0,94.0
314,315,61496,41.0,59.0,96.0,104.0
315,316,4000000,5.0,99.0,96.0,103.0
316,317,298097,19.0,114.0,96.0,88.0
317,318,80141,36.0,127.0,96.0,77.0
318,319,346020,17.0,86.0,96.0,108.0
319,320,63582,40.0,62.0,96.0,111.0
320,321,36982,52.0,48.0,96.0,106.0
321,322,782445,12.0,111.0,96.0,96.0
322,323,942148,11.0,110.0,96.0,97.0
323,324,56689,42.0,59.0,96.0,109.0
324,325,3185185,6.0,98.0,96.0,104.0
325,326,308641,18.0,115.0,96.0,90.0
326,327,91827,33.0,123.0,96.0,76.0
327,328,59488,41.0,130.0,96.0,72.0
328,329,346020,17.0,85.0,96.0,108.0
329,330,346020,17.0,86.0,96.0,108.0
330,331,1453189,9.0,95.0,96.0,106.0
331,332,60492,41.0,60.0,96.0,105.0
332,333,4000000,5.0,102.0,96.0,101.0
333,334,466364,15.0,113.0,96.0,94.0
334,335,69252,38.0,64.0,96.0,112.0
335,336,426504,15.0,113.0,96.0,93.0
336,337,6250000,4.0,100.0,96.0,102.0
337,338,4000000,5.0,101.0,96.0,103.0
338,339,1078189,10.0,93.0,96.0,106.0
339,340,54083,43.0,58.0,96.0,108.0
340,341,4750000,5.0,100.0,96.0,103.0
341,342,2040816,7.0,105.0,96.0,98.0
342,343,2286470,7.0,96.0,96.0,104.0
343,344,277008,19.0,84.0,96.0,110.0
344,345,73046,37.0,65.0,96.0,111.0
345,346,308641,18.0,84.0,96.0,108.0
346,347,29060,59.0,41.0,96.0,101.0
347,348,537374,14.0,112.0,96.0,95.0
348,349,70516,38.0,64.0,96.0,110.0
349,350,61496,41.0,60.0,96.0,109.0
350,351,346020,17.0,113.0,96.0,89.0
351,352,40549,50.0,50.0,96.0,100.0
352,353,2777777,6.0,98.0,96.0,104.0
353,354,884297,11.0,109.0,96.0,96.0
354,355,4000000,5.0,103.0,96.0,101.0
355,356,1453189,9.0,107.0,96.0,97.0
356,357,444444,15.0,89.0,96.0,109.0
357,358,29726,58.0,42.0,96.0,103.0
358,359,118906,29.0,73.0,96.0,111.0
359,360,1343878,9.0,94.0,96.0,105.0
360,361,2040816,7.0,106.0,96.0,100.0
361,362,173611,24.0,78.0,96.0,110.0
362,363,58555,42.0,127.0,96.0,68.0
363,364,226757,21.0,81.0,96.0,109.0
364,365,34728,54.0,133.0,96.0,58.0
