time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.615158390520728e-08,-8.60362904427122e-08,10.004197434042558,6.2829071756768045,6.283085390928509,0.0,7.351226928733461e-06,-1.5557923260945432e-05,0.13990683783555033,-0.016055116901211784,-0.0052234522394163764,0.0,449.1176549303482,448.69390790251913,450.51018892619317,449.2104636268776
0.12000000000000001,3.7879454427720795e-06,-1.0806110803630383e-05,10.016365662256685,6.281940420275607,6.28288433354558,0.0,0.00014367332179503623,-0.0004438964954512892,0.26567908348603253,-0.01622777885467156,0.00015334095186928507,0.0,445.2176186275211,445.6573067837272,444.6386290612364,444.6245776996778
0.18,1.8215491229783485e-05,-6.49363255342182e-05,10.033996482348499,6.281061930842892,6.282869002013708,0.0,0.0003375210626837206,-0.0014487349461270041,0.3220001156059701,-0.011644125085680334,-0.0010861324902528985,0.0,423.4771675973612,423.3705606718098,422.178514738862,422.57384587971706
0.23999999999999996,4.485063467032662e-05,-0.00019853769392923752,10.056337836308943,6.280149512685442,6.2831652539911484,0.0,0.0005363449955177399,-0.0030856270021561313,0.422679004808926,-0.023504521494545502,0.014865077836402688,0.0,436.0761511194263,437.40629787552444,438.234564474156,437.2478419690655
0.3,7.371987461460465e-05,-0.00046078566778667607,10.087414671568796,6.278677303156368,0.0007539640272193893,0.0,0.0003294763641981381,-0.005821923366303935,0.613131635720896,-0.02668549256954368,0.00864876067285594,0.0,465.7067725877592,465.22024138225356,464.5241260539162,464.2745945780101
0.36000000000000004,7.471622949804659e-05,-0.0009094722679908603,10.127240557581734,6.27714998029939,0.0021025632734232858,0.0,-0.0004006884712294609,-0.009293749564533802,0.7143386659643168,-0.023102466634087954,0.04126531177510493,0.0,436.22416866317917,438.9390174889201,437.6500066587666,437.9479577179096
0.4200000000000001,1.675002808077291e-06,-0.0015866575965995922,10.171604086427713,6.276541884201782,0.0042947156153294586,0.0,-0.00225690219362667,-0.013365693649162359,0.7644119268939926,0.007827446737360234,0.02482796330870079,0.0,421.83583698721725,420.41489322760833,420.14234731629784,422.81515934225666
0.48000000000000015,-0.00021956418972710845,-0.0025107501886027198,10.218428817130283,6.276844726363031,0.006404365185247229,0.0,-0.005288095656392225,-0.017401126786982933,0.7963898368483041,-0.0011907950102552686,0.05038147108729985,0.0,414.3077846754249,416.54872291162275,415.71599154325395,414.92505066053707
0.5400000000000001,-0.0006799058230420999,-0.0036851844385947436,10.269097317603833,6.276949970668689,0.009410248831581924,0.0,-0.010361883995019888,-0.021743949318986617,0.8924873401423982,0.007074874473314271,0.049525335304074054,0.0,435.6668549299897,435.5969124584701,436.6880269128619,437.3768519115413
0.6000000000000002,-0.0014901407912490947,-0.005106284549786881,10.323904574576861,6.277389613512039,0.011934497741955319,0.0,-0.016909155752066828,-0.025585498433505882,0.9343850926790124,0.007827682272095994,0.019807381334421656,0.0,419.760879013702,417.17529483316605,419.2952925153466,419.3605716423127
0.6600000000000003,-0.0027292066068141736,-0.00674665845867634,10.380759769026424,6.277984049222905,0.013387795971000038,0.0,-0.02451422720548737,-0.029044790529927027,0.9607647511876503,0.013771967989238867,0.03184217951248221,0.0,413.229297926138,414.2888202444362,413.58738132720026,414.11041796360144
0.7200000000000003,-0.00447603108590694,-0.008590657306063834,10.440835054991938,6.278945513935893,0.015102422155121253,0.0,-0.03389304099979927,-0.0323325160529541,1.0416719499422435,0.020186224671808466,0.021083540149587295,0.0,431.64351600678845,430.73499070966244,432.08170246637434,432.62197177992476
0.7800000000000004,-0.006894578406394989,-0.010631362457941294,10.510743289020333,6.28007443464487,0.016727961416909132,0.0,-0.046902900331323404,-0.035545103661801816,1.2883550908798684,0.015922271836137734,0.03699787522596855,0.0,481.0207779418927,482.2243963166685,483.17737579847653,482.855766099086
0.8400000000000004,-0.010098912928360815,-0.012830997273322672,10.5931531195257,6.280884473780109,0.018750748747490498,0.0,-0.060144338367854086,-0.03767573943134937,1.4584335147572816,0.008154752087033871,0.026167628845994467,0.0,461.0840647765116,460.22815027114376,460.1903454459675,459.57503418827014
0.9000000000000005,-0.014144555673481819,-0.01514017262585199,10.685925430663694,6.282564098739833,0.020630225816762326,0.0,-0.07490301757219946,-0.03915567229250865,1.6337389060714735,0.05179675152067741,0.04003451662131807,0.0,462.14782956911915,463.23972929970193,460.15637951673267,463.5981277205498
0.9600000000000005,-0.0190921560200003,-0.01748913601159967,10.78777998364553,0.003420385624442801,0.02339026220459317,0.0,-0.0902891121595801,-0.03875267693143404,1.7612184349156774,0.08772050751541971,0.055846117704808435,0.0,446.97313872122703,448.2609701586105,447.3017745578756,450.22057016787755
1.0200000000000005,-0.02499473401889909,-0.01972563052342253,10.895997806821745,0.008636397016943853,0.02666559602282348,0.0,-0.10679097334252013,-0.0352753289186908,1.8458979152208188,0.08531232520503905,0.051948914256990976,0.0,435.46404376604886,435.1399982628894,435.0706823578333,434.8754535238312
1.0800000000000005,-0.03207938659935476,-0.021603720171850402,11.013942998479404,0.014057884757844974,0.029627705641181556,0.0,-0.12972664009679544,-0.026683819275702077,2.0851855126210657,0.09890393510893598,0.04363329295164648,0.0,482.3905216969046,481.7635205018248,482.1221818420854,483.15398764702024
1.1400000000000006,-0.04060351849793038,-0.02283196171913171,11.145975450229262,0.020286179500008217,0.032027612703112496,0.0,-0.15470396478721543,-0.013525375575894208,2.3154365542893554,0.11213971786275605,0.03150504089789336,0.0,481.2401633875838,480.32198278437147,479.9466528855619,480.95852370371136
